year,catch,,,,,,,,
1950,8.15,,,,,,,,
1951,18.4,,,,,,,,
1952,80,,,,,,,,
1953,1110,,,,,,,,
1954,2850,,,,,,,,
1955,3360,,,,,,,,
1956,5630,,,,,,,,
1957,5340,,,,,,,,
1958,7300,,,,,,,,
1959,11700,,,,,,,,
1960,12100,,,,,,,,
1961,16600,,,,,,,,
1962,19000,,,,,,,,
1963,14200,,,,,,,,
1964,19400,,,,,,,,
1965,13000,,,,,,,,
1966,15500,,,,,,,,
1967,21900,,,,,,,,
1968,18300,,,,,,,,
1969,20300,,,,,,,,
1970,13400,,,,,,,,
1971,12500,,,,,,,,
1972,12000,,,,,,,,
1973,22800,,,,,,,,
1974,29500,,,,,,,,
1975,11000,,,,,,,,
1976,15000,,,,,,,,
1977,11900,,,,,,,,
1978,18100,,,,,,,,
1979,18100,,,,,,,,
1980,14000,,,,,,,,
1981,15100,,,,,,,,
1982,25300,,,,,,,,
1983,20300,,,,,,,,
1984,17800,,,,,,,,
1985,11500,,,,,,,,
1986,33900,,,,,,,,
1987,31900,,,,,,,,
1988,30500,,,,,,,,
1989,22000,,,,,,,,
1990,36000,,,,,,,,
1991,30300,,,,,,,,
1992,23000,,,,,,,,
1993,20600,,,,,,,,
1994,26500,,,,,,,,
1995,25000,,,,,,,,
1996,32300,,,,,,,,
1997,29800,,,,,,,,
1998,40600,,,,,,,,
1999,40300,,,,,,,,
2000,40200,,,,,,,,
2001,46100,,,,,,,,
2002,37000,,,,,,,,
2003,28700,,,,,,,,
2004,29800,,,,,,,,
2005,29200,,,,,,,,
2006,29700,,,,,,,,
2007,38500,,,,,,,,
2008,35800,,,,,,,,
2009,38100,,,,,,,,
2010,43900,,,,,,,,
2011,33600,,,,,,,,
2012,33400,,,,,,,,
2013,32600,,,,,,,,
2014,39400,,,,,,,,
2015,34200,,,,,,,,
2016,36000,,,,,,,,
2017,38900,,,,,,,,
2018,41400,,,,,,,,
2019,"39,876",,,,,,,,
2020,"38,082",,,,,,,,
