stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
BLKMARLINIO,Black marlin Indian Ocean,1950,0.00281670808939497,59500,2,2,NA,48.5,8.15126050420168e-4,NA,NA,0.002,multinational
BLKMARLINIO,Black marlin Indian Ocean,1951,0.00281090044384983,59500,2,2,NA,48.4,8.13445378151261e-4,NA,NA,0.002,multinational
BLKMARLINIO,Black marlin Indian Ocean,1952,0.0104131866798921,59400,2,2,NA,179,0.00301346801346801,NA,NA,0.009,multinational
BLKMARLINIO,Black marlin Indian Ocean,1953,0.0311756959217209,59300,1.99,1.99,NA,535,0.00902192242833052,NA,NA,0.026,multinational
BLKMARLINIO,Black marlin Indian Ocean,1954,0.0513932259938897,58900,1.98,1.98,NA,876,0.0148726655348048,NA,NA,0.044,multinational
BLKMARLINIO,Black marlin Indian Ocean,1955,0.058164465148488,58400,1.96,1.96,NA,983,0.0168321917808219,NA,NA,0.05,multinational
BLKMARLINIO,Black marlin Indian Ocean,1956,0.0881760804664488,58000,1.95,1.95,NA,1480,0.0255172413793103,NA,NA,0.076,multinational
BLKMARLINIO,Black marlin Indian Ocean,1957,0.100536010382101,57400,1.93,1.93,NA,1670,0.0290940766550523,NA,NA,0.087,multinational
BLKMARLINIO,Black marlin Indian Ocean,1958,0.0947391317223709,56900,1.91,1.91,NA,1560,0.0274165202108963,NA,NA,0.082,multinational
BLKMARLINIO,Black marlin Indian Ocean,1959,0.0936891833277409,56800,1.91,1.91,NA,1540,0.027112676056338,NA,NA,0.081,multinational
BLKMARLINIO,Black marlin Indian Ocean,1960,0.10543386140907,56700,1.91,1.91,NA,1730,0.0305114638447972,NA,NA,0.091,multinational
BLKMARLINIO,Black marlin Indian Ocean,1961,0.107641883449116,56500,1.9,1.9,NA,1760,0.0311504424778761,NA,NA,0.093,multinational
BLKMARLINIO,Black marlin Indian Ocean,1962,0.116410341999744,56400,1.9,1.9,NA,1900,0.0336879432624113,NA,NA,0.1,multinational
BLKMARLINIO,Black marlin Indian Ocean,1963,0.0805474968000481,56200,1.89,1.89,NA,1310,0.0233096085409253,NA,NA,0.07,multinational
BLKMARLINIO,Black marlin Indian Ocean,1964,0.0975110856962495,56700,1.91,1.91,NA,1600,0.0282186948853616,NA,NA,0.085,multinational
BLKMARLINIO,Black marlin Indian Ocean,1965,0.0836413827937163,56600,1.9,1.9,NA,1370,0.0242049469964664,NA,NA,0.073,multinational
BLKMARLINIO,Black marlin Indian Ocean,1966,0.079088271640301,56800,1.91,1.91,NA,1300,0.022887323943662,NA,NA,0.068,multinational
BLKMARLINIO,Black marlin Indian Ocean,1967,0.0909355026147588,57000,1.92,1.92,NA,1500,0.0263157894736842,NA,NA,0.079,multinational
BLKMARLINIO,Black marlin Indian Ocean,1968,0.128748050802197,56900,1.91,1.91,NA,2120,0.0372583479789104,NA,NA,0.115,multinational
BLKMARLINIO,Black marlin Indian Ocean,1969,0.128120180511061,56100,1.89,1.89,NA,2080,0.0370766488413547,NA,NA,0.114,multinational
BLKMARLINIO,Black marlin Indian Ocean,1970,0.141813753360866,55800,1.88,1.88,NA,2290,0.0410394265232975,NA,NA,0.132,multinational
BLKMARLINIO,Black marlin Indian Ocean,1971,0.102917978591072,55400,1.86,1.86,NA,1650,0.0297833935018051,NA,NA,0.097,multinational
BLKMARLINIO,Black marlin Indian Ocean,1972,0.07740925401794,55800,1.88,1.88,NA,1250,0.0224014336917563,NA,NA,0.077,multinational
BLKMARLINIO,Black marlin Indian Ocean,1973,0.0490761494430503,56400,1.89,1.89,NA,801,0.0142021276595745,NA,NA,0.05,multinational
BLKMARLINIO,Black marlin Indian Ocean,1974,0.0835141463593336,57100,1.92,1.92,NA,1380,0.0241681260945709,NA,NA,0.087,multinational
BLKMARLINIO,Black marlin Indian Ocean,1975,0.0742213010778207,56800,1.91,1.91,NA,1220,0.0214788732394366,NA,NA,0.083,multinational
BLKMARLINIO,Black marlin Indian Ocean,1976,0.0401014339925824,56700,1.91,1.91,NA,658,0.0116049382716049,NA,NA,0.047,multinational
BLKMARLINIO,Black marlin Indian Ocean,1977,0.0397418299559997,57300,1.93,1.93,NA,659,0.011500872600349,NA,NA,0.043,multinational
BLKMARLINIO,Black marlin Indian Ocean,1978,0.0472517892442929,57700,1.94,1.94,NA,789,0.0136741767764298,NA,NA,0.054,multinational
BLKMARLINIO,Black marlin Indian Ocean,1979,0.0448741445541997,57600,1.94,1.94,NA,748,0.0129861111111111,NA,NA,0.05,multinational
BLKMARLINIO,Black marlin Indian Ocean,1980,0.0790524230703001,57700,1.94,1.94,NA,1320,0.0228769497400347,NA,NA,0.079,multinational
BLKMARLINIO,Black marlin Indian Ocean,1981,0.0652446333445753,57200,1.92,1.92,NA,1080,0.0188811188811189,NA,NA,0.065,multinational
BLKMARLINIO,Black marlin Indian Ocean,1982,0.129885149713738,57200,1.92,1.92,NA,2150,0.0375874125874126,NA,NA,0.122,multinational
BLKMARLINIO,Black marlin Indian Ocean,1983,0.14756793306879,56200,1.89,1.89,NA,2400,0.0427046263345196,NA,NA,0.137,multinational
BLKMARLINIO,Black marlin Indian Ocean,1984,0.134728990155585,55400,1.86,1.86,NA,2160,0.0389891696750903,NA,NA,0.126,multinational
BLKMARLINIO,Black marlin Indian Ocean,1985,0.130598510265175,55300,1.86,1.86,NA,2090,0.0377938517179024,NA,NA,0.126,multinational
BLKMARLINIO,Black marlin Indian Ocean,1986,0.140225180843628,55200,1.86,1.86,NA,2240,0.0405797101449275,NA,NA,0.14,multinational
BLKMARLINIO,Black marlin Indian Ocean,1987,0.155468238167965,54900,1.85,1.85,NA,2470,0.0449908925318761,NA,NA,0.153,multinational
BLKMARLINIO,Black marlin Indian Ocean,1988,0.146829192500314,54600,1.84,1.84,NA,2320,0.0424908424908425,NA,NA,0.145,multinational
BLKMARLINIO,Black marlin Indian Ocean,1989,0.148094961401179,54600,1.83,1.83,NA,2340,0.0428571428571429,NA,NA,0.153,multinational
BLKMARLINIO,Black marlin Indian Ocean,1990,0.143557738319035,54400,1.83,1.83,NA,2260,0.0415441176470588,NA,NA,0.142,multinational
BLKMARLINIO,Black marlin Indian Ocean,1991,0.157243335163576,54500,1.83,1.83,NA,2480,0.0455045871559633,NA,NA,0.151,multinational
BLKMARLINIO,Black marlin Indian Ocean,1992,0.233122521960556,54400,1.83,1.83,NA,3670,0.0674632352941176,NA,NA,0.221,multinational
BLKMARLINIO,Black marlin Indian Ocean,1993,0.266161879781277,53100,1.79,1.79,NA,4090,0.0770244821092279,NA,NA,0.254,multinational
BLKMARLINIO,Black marlin Indian Ocean,1994,0.39605908908059,52000,1.75,1.75,NA,5960,0.114615384615385,NA,NA,0.359,multinational
BLKMARLINIO,Black marlin Indian Ocean,1995,0.351799878187942,49800,1.67,1.67,NA,5070,0.101807228915663,NA,NA,0.322,multinational
BLKMARLINIO,Black marlin Indian Ocean,1996,0.41564718375679,49300,1.66,1.66,NA,5930,0.120283975659229,NA,NA,0.377,multinational
BLKMARLINIO,Black marlin Indian Ocean,1997,0.492523284493961,48200,1.62,1.62,NA,6870,0.14253112033195,NA,NA,0.447,multinational
BLKMARLINIO,Black marlin Indian Ocean,1998,0.415109859687674,46700,1.57,1.57,NA,5610,0.120128479657388,NA,NA,0.386,multinational
BLKMARLINIO,Black marlin Indian Ocean,1999,0.456546851029044,46700,1.57,1.57,NA,6170,0.132119914346895,NA,NA,0.404,multinational
BLKMARLINIO,Black marlin Indian Ocean,2000,0.595989328534923,46500,1.56,1.56,NA,8020,0.17247311827957,NA,NA,0.547,multinational
BLKMARLINIO,Black marlin Indian Ocean,2001,0.591714250272576,44500,1.49,1.49,NA,7620,0.17123595505618,NA,NA,0.53,multinational
BLKMARLINIO,Black marlin Indian Ocean,2002,0.553997435883767,43600,1.47,1.47,NA,6990,0.160321100917431,NA,NA,0.471,multinational
BLKMARLINIO,Black marlin Indian Ocean,2003,0.702129794220928,43900,1.47,1.47,NA,8920,0.203189066059226,NA,NA,0.567,multinational
BLKMARLINIO,Black marlin Indian Ocean,2004,1.04150895751764,42800,1.44,1.44,NA,12900,0.301401869158879,NA,NA,0.762,multinational
BLKMARLINIO,Black marlin Indian Ocean,2005,0.952657646440331,39900,1.34,1.34,NA,11000,0.275689223057644,NA,NA,0.603,multinational
BLKMARLINIO,Black marlin Indian Ocean,2006,0.973758225006919,40100,1.35,1.35,NA,11300,0.281795511221945,NA,NA,0.703,multinational
BLKMARLINIO,Black marlin Indian Ocean,2007,0.843118629358118,39100,1.31,1.31,NA,9540,0.243989769820972,NA,NA,0.686,multinational
BLKMARLINIO,Black marlin Indian Ocean,2008,0.910764878901305,38700,1.3,1.3,NA,10200,0.263565891472868,NA,NA,0.827,multinational
BLKMARLINIO,Black marlin Indian Ocean,2009,1.02732540791809,37000,1.24,1.24,NA,11000,0.297297297297297,NA,NA,0.912,multinational
BLKMARLINIO,Black marlin Indian Ocean,2010,0.95027600232423,35200,1.18,1.18,NA,9680,0.275,NA,NA,0.838,multinational
BLKMARLINIO,Black marlin Indian Ocean,2011,1.11533573235854,34700,1.17,1.17,NA,11200,0.322766570605187,NA,NA,1.03,multinational
BLKMARLINIO,Black marlin Indian Ocean,2012,NA,NA,NA,NA,NA,13300,NA,NA,NA,NA,multinational
BLKMARLINIO,Black marlin Indian Ocean,2013,NA,NA,NA,NA,NA,14600,NA,NA,NA,NA,multinational
BLKMARLINIO,Black marlin Indian Ocean,2014,NA,NA,NA,NA,NA,17700,NA,NA,NA,NA,multinational
