stockid,year,catch,,,,,,,
BMARLINPAC,1971,9301.7,,,,,,,
BMARLINPAC,1972,10974.8,,,,,,,
BMARLINPAC,1973,12475.2,,,,,,,
BMARLINPAC,1974,11733.2,,,,,,,
BMARLINPAC,1975,10881.92,,,,,,,
BMARLINPAC,1976,11798.7,,,,,,,
BMARLINPAC,1977,12488.9,,,,,,,
BMARLINPAC,1978,14507.2,,,,,,,
BMARLINPAC,1979,15324.5,,,,,,,
BMARLINPAC,1980,15883.8,,,,,,,
BMARLINPAC,1981,16576.1,,,,,,,
BMARLINPAC,1982,17591.3,,,,,,,
BMARLINPAC,1983,16974.1,,,,,,,
BMARLINPAC,1984,19697.1,,,,,,,
BMARLINPAC,1985,15714.7,,,,,,,
BMARLINPAC,1986,18122.2,,,,,,,
BMARLINPAC,1987,24954.8,,,,,,,
BMARLINPAC,1988,21309.3,,,,,,,
BMARLINPAC,1989,18264.6,,,,,,,
BMARLINPAC,1990,16462.6,,,,,,,
BMARLINPAC,1991,18598.9,,,,,,,
BMARLINPAC,1992,21076,,,,,,,
BMARLINPAC,1993,22563,,,,,,,
BMARLINPAC,1994,23294.2,,,,,,,
BMARLINPAC,1995,24518.8,,,,,,,
BMARLINPAC,1996,16756.7,,,,,,,
BMARLINPAC,1997,18726.6,,,,,,,
BMARLINPAC,1998,19589.6,,,,,,,
BMARLINPAC,1999,18291.4,,,,,,,
BMARLINPAC,2000,20836.5,,,,,,,
BMARLINPAC,2001,23763.9,,,,,,,
BMARLINPAC,2002,23434.3,,,,,,,
BMARLINPAC,2003,26136.8,,,,,,,
BMARLINPAC,2004,22939.3,,,,,,,
BMARLINPAC,2005,24965.5,,,,,,,
BMARLINPAC,2006,22414.8,,,,,,,
BMARLINPAC,2007,19262,,,,,,,
BMARLINPAC,2008,18464.6,,,,,,,
BMARLINPAC,2009,18557.7,,,,,,,
BMARLINPAC,2010,20562.8,,,,,,,
BMARLINPAC,2011,18880.5,,,,,,,
BMARLINPAC,2012,20615.5,,,,,,,
BMARLINPAC,2013,22164.7,,,,,,,
BMARLINPAC,2014,23742.6,,,,,,,
BMARLINPAC,2015,23103.4,,,,,,,
BMARLINPAC,2016,23681.2,,,,,,,
BMARLINPAC,2017,19208.5,,,,,,,
BMARLINPAC,2018,18587.6,,,,,,,
BMARLINPAC,2019,16503.9,,,,,,,
