stockid,year,TCbest
SAILEATL,1956,0
SAILEATL,1957,71
SAILEATL,1958,32
SAILEATL,1959,4
SAILEATL,1960,50
SAILEATL,1961,173
SAILEATL,1962,218
SAILEATL,1963,230
SAILEATL,1964,264
SAILEATL,1965,797
SAILEATL,1966,540
SAILEATL,1967,848
SAILEATL,1968,920
SAILEATL,1969,962
SAILEATL,1970,628
SAILEATL,1971,916
SAILEATL,1972,870
SAILEATL,1973,670
SAILEATL,1974,3570
SAILEATL,1975,5280
SAILEATL,1976,5400
SAILEATL,1977,1460
SAILEATL,1978,2530
SAILEATL,1979,3230
SAILEATL,1980,2070
SAILEATL,1981,2080
SAILEATL,1982,2800
SAILEATL,1983,3710
SAILEATL,1984,2450
SAILEATL,1985,2270
SAILEATL,1986,2070
SAILEATL,1987,2550
SAILEATL,1988,2110
SAILEATL,1989,1710
SAILEATL,1990,2320
SAILEATL,1991,1480
SAILEATL,1992,1780
SAILEATL,1993,1820
SAILEATL,1994,1170
SAILEATL,1995,1230
SAILEATL,1996,1880
SAILEATL,1997,1340
SAILEATL,1998,1360
SAILEATL,1999,1340
SAILEATL,2000,1980
SAILEATL,2001,2805
SAILEATL,2002,2351
SAILEATL,2003,2639
SAILEATL,2004,2612
SAILEATL,2005,2220
SAILEATL,2006,1916
SAILEATL,2007,2577
SAILEATL,2008,2129
SAILEATL,2009,1750
SAILEATL,2010,1853
SAILEATL,2011,1553
SAILEATL,2012,1591
SAILEATL,2013,1339
SAILEATL,2014,1163
SAILEATL,2015,1246
SAILEATL,2016,1422
SAILEATL,2017,1650
SAILEATL,2018,1183
