stockid,stocklong,year,UdivUmsypref,TBbest,TBdivTBmsy,BdivBmsypref,TAC,TCbest,ERbest,SSB,F,FdivFmsy,country
SFMAKONPAC,Shortfin mako North Pacific,1975,0.538461559171598,NA,NA,1.62742622692126,NA,2774.7,NA,1031300,0.14,0.538461559171598,USA
SFMAKONPAC,Shortfin mako North Pacific,1976,0.653846178994084,NA,NA,1.62758403029825,NA,3407.5,NA,1031400,0.17,0.653846178994084,USA
SFMAKONPAC,Shortfin mako North Pacific,1977,0.730769258875741,NA,NA,1.62742622692126,NA,3892.4,NA,1031300,0.19,0.730769258875741,USA
SFMAKONPAC,Shortfin mako North Pacific,1978,0.692307718934912,NA,NA,1.62663721003629,NA,3685.5,NA,1030800,0.18,0.692307718934912,USA
SFMAKONPAC,Shortfin mako North Pacific,1979,0.730769258875741,NA,NA,1.62569038977434,NA,4046.8,NA,1030200,0.19,0.730769258875741,USA
SFMAKONPAC,Shortfin mako North Pacific,1980,0.807692338757398,NA,NA,1.62348114249645,NA,4289.3,NA,1028800,0.21,0.807692338757398,USA
SFMAKONPAC,Shortfin mako North Pacific,1981,1.346153897929,NA,NA,1.61953605807164,NA,7384.5,NA,1026300,0.35,1.346153897929,USA
SFMAKONPAC,Shortfin mako North Pacific,1982,1.346153897929,NA,NA,1.61306611961496,NA,6629.6,NA,1022200,0.35,1.346153897929,USA
SFMAKONPAC,Shortfin mako North Pacific,1983,1.30769235798817,NA,NA,1.60549155751933,NA,6243.3,NA,1017400,0.34,1.30769235798817,USA
SFMAKONPAC,Shortfin mako North Pacific,1984,1.23076927810651,NA,NA,1.59539214139183,NA,5842,NA,1011000,0.32,1.23076927810651,USA
SFMAKONPAC,Shortfin mako North Pacific,1985,1.23076927810651,NA,NA,1.58245226447846,NA,5734.4,NA,1002800,0.32,1.23076927810651,USA
SFMAKONPAC,Shortfin mako North Pacific,1986,1.26923081804734,NA,NA,1.5652516963863,NA,5675.3,NA,991900,0.33,1.26923081804734,USA
SFMAKONPAC,Shortfin mako North Pacific,1987,1.346153897929,NA,NA,1.54473725737731,NA,6015.4,NA,978900,0.35,1.346153897929,USA
SFMAKONPAC,Shortfin mako North Pacific,1988,1.30769235798817,NA,NA,1.51980432381253,NA,5863.2,NA,963100,0.34,1.30769235798817,USA
SFMAKONPAC,Shortfin mako North Pacific,1989,1.53846159763314,NA,NA,1.49218873283888,NA,6990.9,NA,945600,0.4,1.53846159763314,USA
SFMAKONPAC,Shortfin mako North Pacific,1990,1.11538465828403,NA,NA,1.46394192835727,NA,4689.3,NA,927700,0.29,1.11538465828403,USA
SFMAKONPAC,Shortfin mako North Pacific,1991,1.0769231183432,NA,NA,1.43616853400663,NA,4584.2,NA,910100,0.28,1.0769231183432,USA
SFMAKONPAC,Shortfin mako North Pacific,1992,0.884615418639055,NA,NA,1.40918415654095,NA,3731.7,NA,893000,0.23,0.884615418639055,USA
SFMAKONPAC,Shortfin mako North Pacific,1993,0.576923099112427,NA,NA,1.38346220609121,NA,2436.6,NA,876700,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,1994,0.461538479289941,NA,NA,1.35947609278839,NA,2266.6,NA,861500,0.12,0.461538479289941,USA
SFMAKONPAC,Shortfin mako North Pacific,1995,0.461538479289941,NA,NA,1.33848824364841,NA,2290.6,NA,848200,0.12,0.461538479289941,USA
SFMAKONPAC,Shortfin mako North Pacific,1996,0.576923099112427,NA,NA,1.32191888906423,NA,2633.6,NA,837700,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,1997,0.50000001923077,NA,NA,1.31071484929777,NA,2212.5,NA,830600,0.13,0.50000001923077,USA
SFMAKONPAC,Shortfin mako North Pacific,1998,0.423076939349113,NA,NA,1.30519173110305,NA,2238.7,NA,827100,0.11,0.423076939349113,USA
SFMAKONPAC,Shortfin mako North Pacific,1999,0.576923099112427,NA,NA,1.30456051759508,NA,2507.5,NA,826700,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,2000,0.576923099112427,NA,NA,1.30708537162695,NA,2488.9,NA,828300,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,2001,0.576923099112427,NA,NA,1.31134606280574,NA,2662.8,NA,831000,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,2002,0.538461559171598,NA,NA,1.31592236073852,NA,2454.9,NA,833900,0.14,0.538461559171598,USA
SFMAKONPAC,Shortfin mako North Pacific,2003,0.576923099112427,NA,NA,1.32097206880227,NA,2685.6,NA,837100,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,2004,0.730769258875741,NA,NA,1.32554836673505,NA,2911.2,NA,840000,0.19,0.730769258875741,USA
SFMAKONPAC,Shortfin mako North Pacific,2005,0.576923099112427,NA,NA,1.32949345115985,NA,2480.1,NA,842500,0.15,0.576923099112427,USA
SFMAKONPAC,Shortfin mako North Pacific,2006,0.615384639053255,NA,NA,1.33312292883068,NA,2762.2,NA,844800,0.16,0.615384639053255,USA
SFMAKONPAC,Shortfin mako North Pacific,2007,0.615384639053255,NA,NA,1.33706801325548,NA,2882.4,NA,847300,0.16,0.615384639053255,USA
